Machine,WorkflowNum,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
asok01,EAGER-0,eager,preseq,OnlineM,Realtime,14754556884,23522.7813951717,34671,0.32154303610592,204047823,14754556884,204098714,93920,7938048,1,93.9
asok01,EAGER-0,eager,preseq,Naive,Realtime,8330435694,14011.6411446046,20485,0.316004825745442,123347977,8330435694,123398857,52059,7798784,1,92
asok01,EAGER-0,eager,preseq,Naive,Realtime,25705994498,38522.503506113,59207,0.349358969275373,339123221,25705994498,339174103,169913,8028160,1,96.3
asok01,EAGER-0,eager,preseq,Naive,Realtime,19132169434,24870.132639476,36770,0.323629789516562,218937990,19132169434,218988881,102282,7962624,1,94.4
asok01,EAGER-0,eager,preseq,Naive,Realtime,19075314980,24832.9542101787,36477,0.319216103018924,218610699,19075314980,218661591,101879,8007680,1,94.7
asok01,EAGER-0,eager,preseq,Naive,Realtime,19100037384,24831.5148553611,36450,0.318751307123153,218598028,19100037384,218648920,102062,8081408,1,94.7
asok01,EAGER-0,eager,preseq,Naive,Realtime,14754556884,23178.6928472593,34671,0.33146742674687,204047823,14754556884,204098714,93920,7938048,1,93.9
asok01,EAGER-0,eager,preseq,Lotaru-A,Realtime,8330435694,0,20485,1,123347977,8330435694,123398857,52059,7798784,1,92
asok01,EAGER-0,eager,preseq,Lotaru-A,Realtime,25705994498,0,59207,1,339123221,25705994498,339174103,169913,8028160,1,96.3
asok01,EAGER-0,eager,preseq,Lotaru-A,Realtime,19132169434,0,36770,1,218937990,19132169434,218988881,102282,7962624,1,94.4
